algo,instance,seed,best,gap,time
ACO,eil51,11,429.0,0.7042253521126761,10.039664030075073
ACO,eil51,12,427.0,0.2347417840375587,10.051305055618286
ACO,eil51,13,429.0,0.7042253521126761,10.019184350967407
ACO,eil51,14,428.0,0.4694835680751174,10.05707573890686
ACO,eil51,15,429.0,0.7042253521126761,10.041856050491333
ACO,eil51,16,427.0,0.2347417840375587,10.019407987594604
ACO,eil51,17,428.0,0.4694835680751174,10.004238605499268
ACO,eil51,18,426.0,0.0,10.028810262680054
ACO,eil51,19,429.0,0.7042253521126761,10.034144401550293
ACO,eil51,20,428.0,0.4694835680751174,10.048513174057007
ACO,eil51,21,428.0,0.4694835680751174,10.020406246185303
ACO,eil51,22,427.0,0.2347417840375587,10.03870701789856
ACO,eil51,23,429.0,0.7042253521126761,10.024451494216919
